brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
GoSriKi,Rayon,495,2599,B0CX13VVVL,https://www.amazon.in/GoSriKi-Womens-Straight-Printed-ANAAR-BEIGE-GS_L_Beige_Large/dp/B0CX13VVVL/ref=sr_1_193,3.6,,Women's Rayon Blend Straight Printed Kurta & Palazzo
Sun Fashion And Lifestyle,Cotton,480,1499,B0FPCSVNG7,https://www.amazon.in/Sun-Fashion-Lifestyle-Stitched-KT58_Pink_S/dp/B0FPCSVNG7/ref=sr_1_194,4.2,,Women's Pv Cotton Stitched Printed Kurti
rangita,Rayon,399,799,B0F92FG9B4,https://www.amazon.in/rangita-Black-Printed-Length-Women_2XL/dp/B0F92FG9B4/ref=sr_1_195,3.2,,Off White Rayon A-Line Printed Short Length Kurti | Kurta for Women
Amazon Brand - Tavasya,Cotton,469,1199,B0FGPXJKB2,https://www.amazon.in/Amazon-Brand-Tavasya-Womens-Chikankari/dp/B0FGPXJKB2/ref=sr_1_196,4.1,,Women Cotton Solid Straight Kurta
MEERA FAB,Cotton,829,2999,B0DV96MMSY,https://www.amazon.in/MEERA-FAB-Printed-Anarkali-Palazzo/dp/B0DV96MMSY/ref=sr_1_197,3.9,,Women's Cotton Printed Anarkali Kurta with Palazzo & Dupatta Set
EthnicJunction,Cotton,667,2854,B0FFN4VY2Q,https://www.amazon.in/EthnicJunction-Womens-Embroidered-Straight-Co-ords/dp/B0FFN4VY2Q/ref=sr_1_198,3.5,,Women's Cotton Blend Embroidered Straight Co-ords Set
V K KURTIS,,569,2599,B0FRM49SGG,https://www.amazon.in/KURTIS-Womens-Stylish-Dress-One-Piece/dp/B0FRM49SGG/ref=sr_1_199,4.2,,VK Women's Stylish Dress One-Piece Women Dress
Bee M Pee Designer,Cotton,649,2499,B0CG9TPRV5,https://www.amazon.in/Bee-Pee-Designer-Kurti-Tokio_Onion/dp/B0CG9TPRV5/ref=sr_1_200,4,,Short Kurti Tops for Jeans for Women I Chikankari Rayon Cotton Long Kurta Kurti for Women I Stylish wear Kurti top for Girls
GoSriKi,Rayon,695,2599,B0CWRZGV79,https://www.amazon.in/GoSriKi-Straight-Embroidered-TRP-Black-NM-GS_5XL_Black_XXXXX-Large/dp/B0CWRZGV79/ref=sr_1_201,3.9,,Women's Rayon Blend Straight Embroidered Kurta with Pant & Dupatta
feranoid,Cotton,588,1999,B0C72RR9P8,https://www.amazon.in/feranoid-Cotton-Printed-Straight-Mandarin/dp/B0C72RR9P8/ref=sr_1_202,3.8,,Women Cotton Printed Straight Short Kurti
FABNEX,,615,3999,B0F4XJRW7G,https://www.amazon.in/FABNEX-Kurta-Women-Kurti-K-148-Yellow-XL/dp/B0F4XJRW7G/ref=sr_1_203,4.1,,Kurta Set for Women | Women Kurti Pant Set (K-148-150)
LookMark,Cotton,674,2599,B0CRS35PFP,https://www.amazon.in/LookMark-Printed-Straight-Dupatta-AZ-LM-OG-KS2092-M/dp/B0CRS35PFP/ref=sr_1_204,3.8,,Women's Cotton Blend Kurta Set
GoSriKi,Rayon,699,2599,B0F8ZY619Q,https://www.amazon.in/GoSriKi-Viscose-Straight-Printed-Wine-GS_XXL_Wine_XX-Large/dp/B0F8ZY619Q/ref=sr_1_205,3.7,,Women's Rayon Viscose Straight Printed Kurta with Pant & Dupatta
Sun Fashion And Lifestyle,,649,1999,B0FHQRP7H3,https://www.amazon.in/Sun-Fashion-Lifestyle-Stitched-KP35_Black_L/dp/B0FHQRP7H3/ref=sr_1_206,3.8,,Women's Reyon Stitched Print Long Kurti Pant
ANNI DESIGNER,Rayon,589,2599,B0FWK49LSW,https://www.amazon.in/ANNI-Designer-Viscose-Straight-Cream_M_Cream_Medium/dp/B0FWK49LSW/ref=sr_1_207,4.3,,"Women's Rayon Viscose Straight Printed Kurta Pant Set | 2-Piece Ethnic Suit for Casual, Daily, Office, and Summer Wear"
Leriya Fashion,,599,1999,B0CNZ83NWX,https://www.amazon.in/Leriya-Fashion-Ethnic-Women-LF-W1842/dp/B0CNZ83NWX/ref=sr_1_208,3.6,,Kurta Sets for Woman | Kurti Set for Woman | Short Kurti for Women Latest | Kurtis | Anarkali Suit for Women | Dress | Ethnic Anarkali Straight Kurta Set with Palazzo Pants | Salwar Suit for Party Outfits
ANNI DESIGNER,Cotton,499,2599,B0CQRH5D35,https://www.amazon.in/ANNI-DESIGNER-Straight-Wide-Cream_L_Cream_Large/dp/B0CQRH5D35/ref=sr_1_209,3.6,,Women's Cotton Blend Regular Kurta with Pant
GoSriKi,Rayon,719,2599,B0DNK5VF6J,https://www.amazon.in/GoSriKi-Raja-Saab-Blue-VKS02-GS_4XL_Dark-Blue_XXXX-Large/dp/B0DNK5VF6J/ref=sr_1_210,3.8,,Women's Rayon Blend Straight Solid Kurta with Pant & Dupatta
GoSriKi,Rayon,799,2599,B0FWK4HTNZ,https://www.amazon.in/GoSriKi-Viscose-Straight-JARUL-Blue-GS_3XL_Blue_XXX-Large/dp/B0FWK4HTNZ/ref=sr_1_211,2.6,,Women's Rayon Viscose Straight Printed Kurta with Pant and Dupatta
Youthnic,Rayon,465,1426,B0FGY56HCM,https://www.amazon.in/Youthnic-Womens-Cotton-Bandhani-Tassles/dp/B0FGY56HCM/ref=sr_1_212,4,,Women's Poly Rayon Printed Alia Cut Peplum Top | Top for Office | Women's Tunics | Short Kurti Women| Regular Fit
GoSriKi,Rayon,521,2599,B0F48ZLVTS,https://www.amazon.in/GoSriKi-Viscose-Straight-Elevate-Rani-GS_3XL_Pink_XXX-Large/dp/B0F48ZLVTS/ref=sr_1_213,3.7,,Women's Rayon Viscose Straight Printed Kurta with Palazzo
ANNI DESIGNER,Cotton,579,2599,B0C85J4PMY,https://www.amazon.in/ANNI-DESIGNER-Embroidered-Victoria-Purple_M_Purple_Medium/dp/B0C85J4PMY/ref=sr_1_214,3.8,,Women's Cotton Blend Straight Fit Straight Chikankari Embroidered Kurta
GoSriKi,Rayon,719,2599,B0D9YTGZZ7,https://www.amazon.in/GoSriKi-Printed-Anarkali-Sudan-Cream-GS_L_Cream_Large/dp/B0D9YTGZZ7/ref=sr_1_215,3.4,,Women's Rayon Blend Printed Anarkali Kurta with Pant & Dupatta
TOPLOT,,599,2599,B0DXF9QV53,https://www.amazon.in/TOPLOT-ord-Women-Stylish-Block-Coord-5234-Teal-M/dp/B0DXF9QV53/ref=sr_1_216,3.9,,Kurta Sets for Woman || Co ord Set for Women Stylish || Kurti Set for Woman || Western Pair (5234)
ANNI DESIGNER,Cotton,799,2599,B0FLQG5GQF,https://www.amazon.in/ANNI-DESIGNER-Embroidery-IDIA-Maroon_XL_Maroon_X-Large/dp/B0FLQG5GQF/ref=sr_1_217,3.3,,"Pure Cotton Kurta Set for Women with Dupatta | Embroidered Straight Kurta Pant Set | Soft Cotton Ethnic Wear for Casual, Office & Festive"
VredeVogel,Cotton,716,4999,B0CMH8DQ82,https://www.amazon.in/VredeVogel-Jacquard-Designed-Banarasi-Teal_Large/dp/B0CMH8DQ82/ref=sr_1_218,4,,Women's Cotton Silk Jacquard Kurta Pant Set with Banarasi Silk Dupatta
Yashika,Cotton,599,2599,B0F8VHSNCD,https://www.amazon.in/Yashika-Regular-Printed-AZ-YS-OG-KS2207-YELLOW-2XL/dp/B0F8VHSNCD/ref=sr_1_219,2.7,,Women's Cotton Blend Trendy Regular Fit Solid Printed Kurti with Bottom |Kurti Set for Women
SIRIL,Rayon,769,3899,B0DTK24H2M,https://www.amazon.in/SIRIL-Printed-Straight-Dupatta-164KBD1764-4XL_Dusty/dp/B0DTK24H2M/ref=sr_1_220,4,,Women's Rayon Blend Floral Printed Straight Kurta Pant with Dupatta Set
Janasya,Cotton,549,1998,B0DJ5NF3YR,https://www.amazon.in/Janasya-Womens-Printed-Straight-XLB24KR00645-6XL/dp/B0DJ5NF3YR/ref=sr_1_221,3.9,,Women's Plus Size Pure Cotton Floral Printed Straight Kurta
Rangnavi,,729,2499,B0F5RVPZR8,https://www.amazon.in/Rangnavi-Womens-Printed-Stright-Dupatta/dp/B0F5RVPZR8/ref=sr_1_222,4,,Women's Floral Printed Stright Kurta with Pant & Dupatta Set | Ethnic set | Kurta set
Royal Export,Silk,870,4899,B0F1DHMHHQ,https://www.amazon.in/Royal-Export-RX60-Black-KPD-S/dp/B0F1DHMHHQ/ref=sr_1_223,4.1,,Women's Viscose Silk Floral Embroidered Straight Kurta Pant with Dupatta
ANNI DESIGNER,Cotton,699,2599,B0F8ZR2Y6J,https://www.amazon.in/ANNI-DESIGNER-Viscose-Straight-Mustard_M_Mustard_Medium/dp/B0F8ZR2Y6J/ref=sr_1_224,3.2,,Women's Pure Cotton Hand Block Print Kurti Pant Dupatta Set for Women | Ethnic Suit Set |Printed Suit Set| Stylish Kurta Set|Soft Cotton Dress Set|3 Piece Kurta Set for Ladies
Bee M Pee Designer,Rayon,799,2499,B0FLKHXC1T,https://www.amazon.in/Bee-Pee-Designer-Short-Embroidered/dp/B0FLKHXC1T/ref=sr_1_225,4.6,,Rayon Paisley Regular Short Kurti for Women Tunics Latest
SIRIL,,779,3299,B0DTKCN8YJ,https://www.amazon.in/SIRIL-Taffeta-Printed-Dupatta-103KBD1125-3XL_Rama/dp/B0DTKCN8YJ/ref=cs_sr_dp,3.9,,+1 other color/pattern
SAADAA,Linen,854,999,B0FPFYMDRV,https://www.amazon.in/SAADAA-Stylish-Comfortable-Everyday-Breathable/dp/B0FPFYMDRV/ref=sr_1_227,4.5,,"Airy Linen Mid Thigh Length Kurta for Women | Stylish Split Neck, 3/4 Sleeves & Side Pockets | Comfortable Everyday Wear Kurta | Breathable Fabric |"
PARTHVI,,949,2997,B0DQTRL6MH,https://www.amazon.in/PARTHVI-Printed-Anarkali-Dupatta-5X-Large/dp/B0DQTRL6MH/ref=cs_sr_dp,4,,+1 other color/pattern
ANNI DESIGNER,Rayon,684,2599,B0F8P4LKRZ,https://www.amazon.in/ANNI-DESIGNER-Anarkali-SITAPATI-YELLOW-VKS03_M_Yellow_Medium/dp/B0F8P4LKRZ/ref=sr_1_229,3,,Women's Rayon Viscose Anarkali Solid Kurta with Pant & Dupatta
Yashika,Cotton,599,2999,B0FRM6GQ95,https://www.amazon.in/Yashika-Printed-Straight-Set_AZ-YS-KS2207-YELLOW-CG1-XXL/dp/B0FRM6GQ95/ref=sr_1_230,2.8,,Regular Women's Cotton Blend Floral with Pant Kurta Ethnic Set
