brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
Xomantic Fashion,Silk,1129,2999,B0G33LN1RQ,https://www.amazon.in/Xomantic-Fashion-Banarasi-Sharara-Standard/dp/B0G33LN1RQ/ref=sr_1_1,4.7,,Womens Purple Color Banarasi Silk Kurta Sharara Set
Generic,,999,2999,B0F6NPNGQ4,https://www.amazon.in/Elegant-Embroidered-Traditional-fashionable-Standard/dp/B0F6NPNGQ4/ref=sr_1_2,3.7,,"Elegant White Embroidered Sharara Set with Lace Details, Traditional Indian Ethnic Wear fashionable"
Xomantic Fashion,,1299,2999,B0G3B4BQQV,https://www.amazon.in/Xomantic-Fashion-Anarkali-Dupatta-Standard/dp/B0G3B4BQQV/ref=sr_1_3,3.3,,Womens Short Kurta With Anarkali Plazzo With Dupatta Set
Generic,Georgette,999,2499,B0FC2DX76S,https://www.amazon.in/Embellished-sharara-Dupatta-Traditional-Standard/dp/B0FC2DX76S/ref=sr_1_4,3.8,,"Shishkala Women’s Royal Blue Georgette Sharara Suit Set with Heavy Embroidered Kurta, Dupatta & Palazzo | Festive, Wedding & Party Indian Ethnic Outfit"
Anveri Textiles,Silk,999,4999,B0FVFY78K7,https://www.amazon.in/Anveri-Textiles-Premium-Embroidered-Standard/dp/B0FVFY78K7/ref=sr_1_5,4.1,,Premium Silk Embroidered Kurti with Sharara & Dupatta | Elegant Ethnic Wear for Women | Festive & Party Outfit
Generic,,999,2999,B0FF288BC3,https://www.amazon.in/Womens-Off-White-Embroidered-Sharara-Dupatta/dp/B0FF288BC3/ref=sr_1_6,3.5,,"Women's Off-White Embroidered Kurta with Green Sharara & Dupatta Set – 3/4 Sleeve, Round Neck, Above Knee Length | Party | Wedding"
SHANTVAN GALLERY,Silk,939,1999,B0G5NJ3JTF,https://www.amazon.in/Embroidered-Traditional-Celebrations-Ceremonies-Gatherings/dp/B0G5NJ3JTF/ref=sr_1_7,3.3,,Wedding Outfit For Women Embroidered Shrara Set For Women Designer Silk Kurta With Sharara Pants Festive Ethnic Wear Traditional Outfit For Celebrations Functions Ceremonies And Gatherings
Royal Export,Viscose,863,6999,B0DJLZVZ6S,https://www.amazon.in/Royal-Export-Embroidered-Straight-RX94-surbhimirrorprint_Multicolor_XXL/dp/B0DJLZVZ6S/ref=sr_1_8,4.2,,Women's Viscose Floral/Mirror Work Embroidered Straight Kurta Sharara With Dupatta
TILKI,,680,999,B0CTYGJY5V,https://www.amazon.in/TILKI-Womens-Kurti-Sharara-Dupatta/dp/B0CTYGJY5V/ref=sr_1_9,3.9,,FASHION Women's Kurti Sharara with Dupatta Set
TILKI,,1699,2799,B0FTVSVX7H,https://www.amazon.in/TILKI-FASHION-Shimmer-Embroidered-Sharara/dp/B0FTVSVX7H/ref=sr_1_10,3.4,,FASHION Women's Shimmer Embroidered Sharara Suit Set with Dupatta
ANAGH APPARELS,Silk,2349,5999,B0GHGFS4WV,https://www.amazon.in/ANAGH-APPARELS-Designer-Embroidery-Standard/dp/B0GHGFS4WV/ref=sr_1_11,4,,GMY Silk Designer Sharara Suit Set for Women | Heavy Embroidery & Sequins Work | Full Sleeves Kurta with Sharara & Dupatta
Xomantic Fashion,Silk,1129,2999,B0G33S9QWK,https://www.amazon.in/Xomantic-Fashion-Banarasi-Sharara-Standard/dp/B0G33S9QWK/ref=sr_1_12,4.7,,Womens Purple Color Banarasi Silk Kurta Sharara Set
SHOPPING QUEEN,Georgette,1234,6299,B0CBVG2JKD,https://www.amazon.in/SHOPPING-QUEEN-Georgette-Straight-A504_Pista_XS/dp/B0CBVG2JKD/ref=sr_1_13,4.4,,Women's Georgette Straight Kurta Sharara Set with Dupatta
TILKI,,628,1999,B0C3RFK14Z,https://www.amazon.in/TILKI-Womens-Embrodery-Sarara-Dupatta/dp/B0C3RFK14Z/ref=sr_1_14,3.8,,FASHION Women's Embrodery Work Kurti With Sarara And Dupatta Set
Anveri Textiles,Net,999,2599,B0FDQWGNZH,https://www.amazon.in/Anveri-Purple-Embroidered-Sharara-Dupatta/dp/B0FDQWGNZH/ref=sr_1_15,4.1,,"Anveri Purple Net Embroidered Kurti Sharara Dupatta Set for Women – Round Neck, 3/4th Sleeves, Above Knee Length Kurta – Ethnic Party |Dress| net kurta set |purple dress(271_vibhuti)"
SHISHKALA,Silk,999,3499,B0FJSCMGQB,https://www.amazon.in/SHISHKALA-Designer-Sharara-Embroidery-Traditional/dp/B0FJSCMGQB/ref=sr_1_16,3.8,,"Women's Designer Sharara Suit Set, Purple Silk with Zari Embroidery, Traditional 3-Piece Ethnic Wear"
SHOPPING QUEEN,Georgette,1234,6299,B0CBVGBXL4,https://www.amazon.in/SHOPPING-QUEEN-Georgette-Straight-A503_Peach_L/dp/B0CBVGBXL4/ref=sr_1_17,4.4,,Women's Georgette Straight Kurta Sharara Set with Dupatta
Miss Ethnik,Georgette,2239,3999,B08QFDP4L7,https://www.amazon.in/Miss-Ethnik-Georgette-Embroidered-ME-1033-Black1/dp/B08QFDP4L7/ref=sr_1_18,3.8,,Women's Faux Georgette Semi-Stitched Top With Stitched Bottom and Dupatta Embroidered Straight Kurta Dress Material (Kurta Palazzo Set)
Generic,Silk,999,4999,B0FBWHH1F7,https://www.amazon.in/Designer-Embroidered-Embellishments-Three-Quarter-Standard/dp/B0FBWHH1F7/ref=sr_1_19,3.9,,"Designer Embroidered Sharara Suit, White Silk with Gold Embellishments, Three-Quarter Sleeves"
MANHAREE,Rayon,719,2999,B0F4XQMYYC,https://www.amazon.in/MANHAREE-Womens-Rayon-Anarkali-Dupatta/dp/B0F4XQMYYC/ref=sr_1_20,4,,| Women's Rayon Kurta with Pant & Dupatta Set
SIRIL,Rayon,918,3999,B0DRZJG6XH,https://www.amazon.in/SIRIL-Printed-Sharara-Straight-54KBD633A-M_Black/dp/B0DRZJG6XH/ref=sr_1_21,4.1,,Women's Rayon Suit Set for Women | Foil Printed Kurta with Sharara & Dupatta | Straight Kurta Set
Xomantic Fashion,,1224,2999,B0C6JXLG7P,https://www.amazon.in/Xomantic-Fashion-Embroiderd-Navyblue-Anarkali/dp/B0C6JXLG7P/ref=sr_1_22,4.2,,Women's Embroiderd Work Navyblue Color Weding Wear Anarkali Kurta Sharara Set
