brand,material_raw,price_current,price_mrp,product_id,rating,review_count,title
Avantika Fashion,kanjivaram,565.0,2499.0,B0F59L8NJ8,,3.7,56.0,kanjivaram soft semi silk banarasi sarees with blouse piece
New Season,kanjivaram,1899.0,8999.0,B0G6JSD65Q,,,,kanjivaram pure soft silk saree with unstitched blouse piece
SGF11,kanjivaram,1999.0,8999.0,B0DHXXLQKB,,3.8,116.0,kanjivaram pure soft silk handloom saree pure golden zari with blouse piece
C J Enterprise,kanjivaram,599.0,999.0,B0DV4GZ3DD,,4.2,280.0,pure kanjivaram silk saree paithani soft wedding sarees with blouse piece (chand paithani)
SIRIL,kanjivaram,729.0,3799.0,B0DRNJ7GPX,,3.8,20.0,jacquard kanjivaram soft silk saree pure silk with unstitched blouse piece
Avantika Fashion,kanjivaram,879.0,2499.0,B0DG2XJL3P,,3.9,107.0,kanjivaram style soft silk banarasi sarees with blouse piece
Avantika Fashion,silk,441.0,3699.0,B0CD2BDPYP,,3.7,352.0,wonderful lichi silk saree with blouse piece
C J Enterprise,banarasi,549.0,999.0,B0D45NC7B6,,3.8,342.0,banarasi pure kanjivaram silk saree soft design with blouse piece for wedding (golaline-51)
SGF11,kanjivaram,1497.0,8999.0,B0F6V9BLFJ,,3.8,24.0,kanjivaram pure soft silk saree with unstitched blouse piece
SIRIL,kanjivaram,1339.0,6299.0,B0DRKBNGF7,,3.7,138.0,kanjivaram silk saree pure silk banarasi saree with unstitched blouse piece
Flosive,banarasi,929.0,4500.0,B0DRG1W73Q,,3.1,65.0,present banarasi soft lichi silk saree beautiful jacquard rich pallu design work zari woven kanjivaram silk style 3305 saree with soft lichi silk blouse piece
Generic,kanjivaram,1499.0,3499.0,B0FM4FPFZ1,,,,pure kanjivaram silk saree – wedding & festival collection
Glory Sarees,,499.0,3999.0,B0F3P6PRBW,,3.9,7700.0,glory sarees
SGF11,kanjivaram,907.0,8999.0,B0CJ39T7VN,,3.7,24.0,kanjivaram pure soft silk handloom saree pure golden zari with blouse piece
NEW COLLECTION,kanjivaram,740.0,1599.0,B0CXF4ZKQR,,4.7,4.0,plain original kanjivaram silver white zari border banarasi satin saree women kanchipuram pure paithani soft lichi mysore silk traditional jacquard new ladies sadi with blouse piece
