brand,material_raw,price_current,price_mrp,product_id,product_url,rating,review_count,title
U TURN,,360,1599,B0CBX53QJV,https://www.amazon.in/TURN-Casual-Printed-Striped-Stylish/dp/B0CBX53QJV/ref=sr_1_1,,,Men's Casual Printed Striped Stylish Latest Formal Shirt for Men
AUSK,Cotton,299,1499,B0G4LY6K1G,https://www.amazon.in/AUSK-T-Shirt-Texture-Design-Tshirts/dp/B0G4LY6K1G/ref=sr_1_2,,,T-Shirt for Men Zip Neck Texture Self Design Cotton Blend Mens Tshirts
U TURN,,378,1598,B0CBX5119W,https://www.amazon.in/TURN-Slim-Fit-Casual-Shirt/dp/B0CBX5119W/ref=sr_1_3,,,Men's Casual Printed Striped Stylish Latest Formal Shirt for Men
NexaFlair,Cotton,469,1999,B0DXCYNMCX,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0DXCYNMCX/ref=sr_1_4,,,Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear
NexaFlair,Cotton,469,1999,B0FBX2TL9V,https://www.amazon.in/NexaFlair-Summer-Regular-Stylish-Everyday-Regular/dp/B0FBX2TL9V/ref=sr_1_5,,,Men's Solid Linen Cotton Shirt | Casual | Plain | Full Sleeve | Summer-Regular Fit| Men Stylish Shirt | Everyday Formal Wear
U TURN,,378,1598,B0DKPBVBS6,https://www.amazon.in/U-TURN-Printed-Striped-Stylish-Brown-Black/dp/B0DKPBVBS6/ref=sr_1_6,,,Men's Casual Solid Stylish Latest Formal Striped Shirt for Men
MADHAVISTA,Cotton,499,1499,B0FMFFT83B,https://www.amazon.in/MADHAVISTA-Lightweight-Breathable-Stylish-Everyday/dp/B0FMFFT83B/ref=sr_1_7,,,"Combo of Men’s Casual Cotton Blend Shirt || Long Sleeve Button Down with Spread Collar | Lightweight Breathable Fabric | Stylish Solid Shirt for Beach, Office & Everyday Wear Pack of 2"
Majestic Man,Cotton,499,1499,B0CK6KTSSD,https://www.amazon.in/Majestic-Man-Classic-Cotton-Casual/dp/B0CK6KTSSD/ref=sr_1_8,,,Men Classic Slim Fit Pure Cotton Casual Shirt
DEELMO,Linen,499,1999,B0F4NJ2445,https://www.amazon.in/DEELMO-Casual-Fashion-Textured-Regular/dp/B0F4NJ2445/ref=sr_1_9,,,Men's Casual Button Down Shirts Long Sleeve Linen Shirt Fashion Textured Beach Summer Shirt
U TURN,,378,1499,B0BT7C1Y86,https://www.amazon.in/U-TURN-Cotton-Solid-Formal-Medium/dp/B0BT7C1Y86/ref=sr_1_10,,,U-Turn Casual Shirt for Men || Shirt for Men Latest Stylish || Men Stylish Shirt || Men Solid Plain Shirt
Zombom,Cotton,499,1699,B0D3XJVWTX,https://www.amazon.in/Zombom-Cotton-Regular-Mandarin-Chinese/dp/B0D3XJVWTX/ref=sr_1_11,,,Cotton Polyester Blend Solid Casual Regular Fit Mandarin/Chinese Collor Short Kurta for Men
DEELMO,Cotton,498,2599,B0FXRRV8W2,https://www.amazon.in/DEELMO-Stylish-Button-Down-Comfortable-Breathable/dp/B0FXRRV8W2/ref=sr_1_12,,,Men’s Stylish Cotton Blend Casual Shirt || Full Sleeve Button-Down Shirt with Dual Flap Pockets || Comfortable Breathable Fabric || Perfect for Casual Office and Outing Wear
CB-COLEBROOK,Cotton,499,1849,B0CGLN88TP,https://www.amazon.in/CB-COLEBROOK-Regular-Spread-Collar-XX-Large/dp/B0CGLN88TP/ref=sr_1_13,,,Men's Regular Fit Solid Soft Touch Cotton Casual Shirt with Pocket Design with Spread Collar & Full Sleeves (Available in Plus Size)
